cefalea "Dolor de cabeza intenso y persistente que va acompañado de sensación de pesadez"
xantocromía "coloración amarilla de una parte del cuerpo"
miastenia "enfermedad que causa debilitamiento en los músculos voluntarios"
craneotomía "operación quirúrgica en que parte del cráneo, llamado colgajo óseo, se elimina con el fin de acceder al cerebro"
hematocrito "Volumen de glóbulos con relación al total de la sangre"
vasoespasmo "Estrechamiento segmentario o difuso del calibre arterial como consecuencia del efecto que tienen sobre la pared del vaso"
arteriovenosas " defectos en las arterias, venas y capilares"
tabaquismo "intoxicación aguda o crónica producida por el consumo abusivo de tabaco"
neoplasias "masa anormal de tejido"
Bocio "Tumefacción de la glándula tiroides que origina una prominencia o un aumento de tamaño de la parte anterior e inferior del cuello"
Candidiasis "infección vaginal común por hongos, es decir, una inflamación de tu vagina"
sepsis "Ocurre cuando el cuerpo tiene una fuerte respuesta inmunitaria a una infección bacteriana"
micosis "Enfermedad infecciosa producida por hongos microscópicos que puede afectar a cualquier parte del organismo."
endocarditis " infección del endocardio"
endoftalmitis " infección que afecta todo el globo ocular"
neumonitis "nflamación de los pulmones debida a quimioterapia o terapia con radiación"
hongo "organismo eucariota que pertenece al reino Fungi"
mucormicosis " Infección oportunista poco frecuente y potenclalmente letal, causada por hongos"
deferoxamina "agente quelante utilizado para promover la remoción del exceso de hierro en el organismo"
inmunodeﬁciencia "Estado del organismo consecuente a una deficiencia funcional del sistema inmunitario de defensa"
SIDA "El virus de inmunodeficiencia humana (VIH) es el virus que causa el SIDA. Cuando una persona se infecta con VIH, el virus ataca y debilita al sistema inmunitario"
gonococos "enfermedad de transmisión sexual que se presenta en los humanos"
syphlos "Infección bacteriana, generalmente de transmisión sexual, que comienza con una llaga indolora."
proteinorraquia "Aumento de la tasa de proteínas en el líquido cefalorraquídeo"
ceftriaxona "antibiótico de la clase cefalosporinas de tercera generación, por lo que tiene acciones de amplio espectro en contra de bacterias"
imidazoles "intermediario de la biosíntesis de la histidina que se forma desde el imidazol glicerol fosfato con la pérdida de agua"
Otomicosis "término médico que se emplea para nombrar las infecciones de la piel del conducto auditivo externo"
linfangítica "vasos linfáticos"
esporotricosis "infección cutánea causada por el moho saprófito Sporothrix schenckii."
osteoarticular "síntoma que puede ser causado por una gran variedad de enfermedades, principalmente las enfermedades reumáticas"

