ticercosis "es una enfermedad del sistema nervioso central de origen parasitario que genera una alta morbilidad"
grampositivos "aquellas bacterias que se tiñen de azul oscuro o violeta por la tinción de Gram"
Anaerobios "Los organismos anaerobios o anaeróbicos son los que no utilizan oxígeno O2 en su metabolismo"
ﬂuoroquinolonas "Las ﬂuoroquinolonas son un grupo de agentes quimioterapeuticos sintéticos"
foliculitis "La foliculitis es la inflamación de uno o más folículos pilosos"
staphylococcus "Staphylococcus is a genus of Gram-positive bacteria"
nefrologia "La nefrología es la especialidad médica rama de la medicina interna que se ocupa del estudio de la estructura y la función renal"
nefrotóxicos "La nefrotoxicidad es la toxicidad ejercida sobre los riñones"
glomerular "The glomerulus and its surrounding Bowmans capsule constitute a renal corpuscle, the basic filtration unit of the kidney"
subaracnoideo "El espacio subaracnoideo o espacio leptomeníngeo se encuentra situado entre la aracnoides y la piamadre"
hematoencefálica "La barrera hematoencefálica es un sistema de protección contra la entrada de sustancias extrañas formada por células endoteliales"
poliarteritis "La poliarteritis nodosa o panarteritis nudosa PAN es una vasculitis necrotizante diseminada que afecta a arterias musculares"
endocrinologia "La endocrinología es una disciplina de la medicina que estudia el sistema endocrino y las enfermedades provocadas por un"
pituitarias "una planta mediterránea venenosa y medicinal"
córticosuprarrenal "Las glándulas suprarrenales son pequeñas glándulas situadas encima de los riñones que liberan hormonas"
aplasia "the failure of an organ or tissue to develop or to function normally"
ascitis "La ascitis es una acumulación de líquido que contiene proteínas líquido ascítico dentro del abdomen"
desmopresina "La desmopresina es un medicamento sintético que tiene un efecto similar a la hormona antidiurética o vasopresina"
crioprecipitado "Es la fracción de las proteínas plasmáticas que permanecen insolubles cuando el plasma fresco congelado es descongelado en condicion"
gastroduodenal "the gastroduodenal artery is a small blood vessel in the abdomen"
postprandial "during or relating to the period after dinner or lunch"
epigástrica "La hernia epigástrica es una forma de hernia abdominal"
borborigmos "son los sonidos generados por el movimiento, tanto en los seres humanos como en los animales en general, de los gases a través de los in"
dismnésicas "Los síntomas dismnésicos consisten en fenómenos de distorsión de los recuerdos que pueden originar sensaciones de familiaridad"
isquémico "Un accidente cerebrovascular isquémico se produce cuando un coágulo o masa grasa obstruye el suministro de sangre hacia el cerebro"
hipoperfusión "Disminución del flujo de sangre que pasa por un órgano"
embolización "significa ocluir de manera voluntaria vasos sanguíneos con diferentes intenciones"
idiopática "significa de irrupción espontánea o de causa desconocida"
miocardiopatía "el deterioro de la función del miocardio por cualquier razón"
endocarditis "Endocarditis is an infection of the endocardium"
lergología "especialidad que estudia la alergia, sus manifestaciones y se encarga de su tratamiento"
anestesiología "especialidad que estudia los procedimientos, aparatos y materiales relacionados con la anestesia, es decir con la pérdida de"
biopsia "toma de una muestra de un tejido del organismo para ser analizado, así dependiendo del órgano del que se tome puede existir muchos tipos: b"
leucocito "conjunto heterogéneo de células sanguíneas que son ejecutoras de la respuesta inmunitaria, interviniendo así en la defensa del organismo"
campimetría "medición del campo visual del ojo por medio de campímetro a través de un ordenador"
cariotipo "propio de cada individuo. conjunto y disposición de la colocación de los cromosomas en una fase de su división. prueba genética."
cateterismo "introducción de un catéter en una cavidad hueca con fines diagnósticos o terapéuticos, utilizando contraste"
matraz "instrumento de vidrio con medidas para mezclar soluciones"
citología "estudio de la estructura y funciones de las células"
cobaltoterapia "sistema de irradiación intracavitaria"
colesterol "grasa que se deposita en el interior de las arteria"
ecografía "técnica diagnóstica que utilizando ultrasonidos los transforma en imágenes, existen varios tipos según las estructuras del organismo qu"
electroneurografía "prueba diagnóstica para medir la velocidad de conducción en los nervios sensitivos o motores, con estímulo naturales o eléctri"
electrocardiograma "registro de la actividad cardiaca, que se realiza por la detección de su actividad eléctrica a través de electrodos que se sit"
electronistagmografía "medición del temblor ocular mediante electrodos"
electroterapia "utilización terapéutica de la corriente eléctrica"
endoscopia "observación diagnóstica de cavidades corporales y órganos huecos con un endoscopio"
ergometría "medición del trabajo corporal estandarizado por medio del ergómetro y determinación de los cambios producidos por esa carga. alteraci"
bioanálisis "es una especialidad de las ciencias de la salud que posibilita el desarrollo de pruebas y estudios de laboratorio para la medición d"
electroencefalograma "registro de la actividad eléctrica generada por la corteza cerebral, que se obtiene mediante la aplicación de 20 electrodos al"
